"Zeitstempel","I have read the information and agree to participate in the survey.","What is your age?","What is your gender?","What is your highest level of education completed?","What is your current occupation?","How would you rate your familiarity with technology?","How often do you play video games?","What are your preferred video game genres?","Which gaming platform do you use regularly","How many years have you been playing video games?","How would you rate your gaming skill level?","Gaming Experience [I felt revived]","Gaming Experience [I felt bad]","Gaming Experience [I found it hard to get back to reality]","Gaming Experience [I felt guilty]","Gaming Experience [It felt like a victory]","Gaming Experience [I found it a waste of time]","Gaming Experience [I felt energised]","Gaming Experience [I felt satisfied]","Gaming Experience [I felt disoriented]","Gaming Experience [I felt exhausted]","Gaming Experience [I felt that I could have done more useful things]","Gaming Experience [I felt powerful]","Gaming Experience [I felt weary]","Gaming Experience [I felt regret]","Gaming Experience [I felt ashamed]","Gaming Experience [I felt proud]","Gaming Experience [I had a sense that I had returned from a journey]","How intuitive were the game controls and the user interface?","How would you rate the visual quality of the game?","Were the game objectives clear to you?","Share your opinion on the navigation path assistant (Was it helpful, unnecessary, visually unappealing?) ","What did you enjoy most about the game?","What did you enjoy least about the game?","Do you have any additional comments or feedback?"
"2024/10/13 5:05:34 PM OESZ","Yes","18-24","Male","Master's degree","Employed","Very familiar","Daily","(A)RPG, Adventure","PC;Mobile","More than 10 years","Advanced","3","0","1","0","4","0","2","3","0","0","0","4","0","0","0","0","1","Very intuitive","Good","Clear","Liked it, but would've enjoyed less snappy path updates","Pepper-spraying patients (and of course viruses)","No page indicator on the virus information sheets","Nice proof of concept! I hope to see more levels in the future :)"
"2024/10/13 5:18:56 PM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Very familiar","Daily","FPS","PC;Mobile","More than 10 years","Expert","2","1","2","1","3","1","2","3","1","1","1","3","1","1","0","2","2","Very intuitive","Excellent","Clear","Helpful","virus description","finding the last virus",""
"2024/10/13 7:16:54 PM OESZ","Yes","25-34","Female","Bachelor's degree","Student","Very familiar","Occasionally (1-3 times a week)","Mobile Legends BB","PC;Mobile","More than 10 years","Advanced","4","0","0","0","4","0","4","4","0","0","0","3","0","0","0","4","4","Very intuitive","Very Good","Very clear","Very helpful, you knew where you needed to go","The information and visual presentation/actions against the viruses","Nothing","Very nice game!"
"2024/10/13 9:03:12 PM OESZ","Yes","25-34","Male","High school diploma or equivalent","Student","Very familiar","Daily","Roguelikes, Rythmgames, Actionrpgs","PC","More than 10 years","Expert","1","1","0","0","2","1","2","3","0","0","0","2","0","0","0","2","1","Very intuitive","Good","Very clear","It helped show me where to go","The educational aspect","Its short",""
"2024/10/13 9:12:35 PM OESZ","Yes","18-24","Male","High school diploma or equivalent","Student","Very familiar","Daily","MOBA, story-games","PC","7-10 years","Intermediate","1","0","0","0","1","0","1","1","0","0","0","1","0","0","0","2","1","Very intuitive","Very Good","Very clear","helpful","the visuals","nothing","no"
"2024/10/13 10:54:15 PM OESZ","Yes","25-34","Male","Master's degree","Employed","Very familiar","Rarely (Less than once a week)","Platformers","Console","More than 10 years","Advanced","2","0","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","Neutral","Good","Very clear","It was ok for a first approach","How de people were designed","Finishing",""
"2024/10/14 5:07:45 PM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Very familiar","Daily","RPG","PC","More than 10 years","Expert","2","2","3","1","4","1","2","4","3","0","1","3","1","1","1","1","0","Very intuitive","Very Good","Very clear","It was helpful and neccessary","The Visuals","The lack of sound",""
"2024/10/15 1:16:17 AM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Very familiar","Frequently (4-6 times a week)","MMORPGs/MMOs","PC","More than 10 years","Expert","3","0","0","0","3","0","3","4","1","0","1","2","2","0","0","3","3","Very intuitive","Very Good","Very clear","It was helpful, and i think it is also not important, that it should be more visually appealing. Was doing what it was supposed to do.","Destroying the viruses","long marches in the rooms",""
"2024/10/15 12:14:59 PM OESZ","Yes","25-34","Female","Bachelor's degree","Student","Familiar","Rarely (Less than once a week)","simulation, strategy","PC;Mobile","4-6 years","Intermediate","2","0","1","1","1","0","2","2","0","0","1","1","1","1","1","1","1","Very intuitive","Very Good","Very clear","everything was clear and precise, managed to correctly orientate the understanding of further actions","game interface design","-",""
"2024/10/16 3:17:15 PM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Very familiar","Daily","RPG","PC;Console;Mobile","More than 10 years","Expert","3","0","0","0","1","0","2","2","1","1","2","3","2","1","1","1","1","Intuitive","Very Good","Clear","Helpful","Killing the viruses","Nothing",""
"2024/10/16 3:57:26 PM OESZ","Yes","18-24","Male","Bachelor's degree","Student","Very familiar","Daily","FPS","PC;Console","7-10 years","Advanced","2","1","1","1","3","1","3","3","1","3","2","3","3","1","1","1","2","Very intuitive","Excellent","Very clear","Sometimes feels laggy","Learning about viruses","NPC walking on tables",""
"2024/10/16 4:02:26 PM OESZ","Yes","25-34","Male","Master's degree","Employed","Very familiar","Daily","Strategy","PC","More than 10 years","Expert","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Very intuitive","Very Good","Neutral","easy to find objectives","cool npc's","the notes",""
"2024/10/16 4:04:14 PM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Very familiar","Frequently (4-6 times a week)","Strategy, RPS","PC;Console;Mobile","More than 10 years","Expert","3","1","1","1","2","0","1","2","0","0","2","2","1","0","0","1","1","Neutral","Good","Clear","helpful","viruses","walking too much",""
"2024/10/16 4:06:01 PM OESZ","Yes","25-34","Male","Bachelor's degree","Student","Familiar","Frequently (4-6 times a week)","RPG","PC","7-10 years","Advanced","3","1","1","1","2","0","2","2","0","0","1","2","0","0","0","0","0","Intuitive","Excellent","Very clear","Helped me to find the objectives","Visually appealing viruses","nurse movement ",""
"2024/10/16 4:45:50 PM OESZ","Yes","18-24","Female","Bachelor's degree","Student","Familiar","Occasionally (1-3 times a week)","Mobile","Mobile","7-10 years","Intermediate","1","0","0","0","2","1","0","0","1","0","1","2","0","0","1","2","1","Intuitive","Very Good","Clear","-","nothing","nothing",""
"2024/10/16 4:46:55 PM OESZ","Yes","25-34","Male","Master's degree","Employed","Very familiar","Occasionally (1-3 times a week)","Arcade","Console","More than 10 years","Advanced","0","0","0","0","2","0","1","1","0","0","2","2","0","0","0","2","0","Intuitive","Very Good","Clear","Helpful","Clinical setting","Nothing",""
"2024/10/17 2:46:37 PM OESZ","Yes","18-24","Male","Bachelor's degree","Student","Very familiar","Frequently (4-6 times a week)","FPS","PC;Console","More than 10 years","Expert","0","0","0","1","3","0","3","4","0","0","2","3","0","0","0","3","1","Very intuitive","Excellent","Very clear","Helpful","Everything","Nothing","-"
"2024/10/17 2:56:42 PM OESZ","Yes","25-34","Male","Master's degree","Employed","Familiar","Frequently (4-6 times a week)","Strategy","PC","More than 10 years","Advanced","2","0","0","0","1","1","2","2","0","0","2","2","2","0","0","1","0","Neutral","Excellent","Very clear","Nice for finding objectives","The nurses and doctor design","Nothing",""
"2024/10/17 2:58:12 PM OESZ","Yes","18-24","Female","Bachelor's degree","Student","Familiar","Rarely (Less than once a week)","Mobile Games","Mobile","4-6 years","Intermediate","1","0","0","0","1","0","1","2","0","0","1","3","1","0","0","2","0","Neutral","Very Good","Clear","helpful","destroying the viruses with the sprayer","nothing",""
"2024/10/17 2:59:26 PM OESZ","Yes","25-34","Male","Master's degree","Employed","Very familiar","Frequently (4-6 times a week)","FPS","Console","More than 10 years","Advanced","3","0","0","1","4","0","2","3","0","0","1","3","0","0","0","2","0","Intuitive","Very Good","Very clear","Very helpful","Learning about viruses","Nothing",""